	S1	S2	S3	S4	S5	S6	S7	S9	S10	S11	S12	S13	S15	S16	S17	S18	S19	S20	S22	S23	S24	S25	S26	S27	S28	S30	S34	S35	S36	S37	S61	S62	S63	S65	S85	S86	S87	S88	S89	S112	S113	S114	S161	S162	S164	S165	S166	S167	S168	S169	S170	S171	S172	S173	S174	S175	S176	S177	S179	S182	S187	S188	S191	S194	S196	S197	S198	S201	S202	S203	S204	S205	S206	S207	S208	S209	S210	S213	S214	S215	S216	S217	S218	S219	S220	S221	S222	S223	S224	S225
OTU_4272	1	0	1	1	0	0	1	1	0	1	1	0	2	1	3	2	1	1	0	0	0	0	0	0	2	4	0	2	4	0	0	0	1	3	0	1	1	0	1	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	3	1	1	2	0	0	3	0
OTU_236	1	4	0	2	35	5	94	0	177	14	27	81	2	0	0	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	0	1	1	2	1	0	0	1	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1
OTU_399	9	2	2	4	4	0	3	6	0	1	2	2	4	1	2	0	1	4	3	2	1	1	6	4	3	2	0	1	1	4	8	25	66	73	0	6	2	2	3	4	6	3	2	2	1	0	0	4	11	0	1	0	0	0	1	1	2	1	12	10	3	3	2	0	0	4	2	4	23	42	2	1	2	2	0	6	3	0	0	1	0	6	13	1	2	9	5	2	0	4
OTU_1556	5	18	7	3	2	9	2	6	1	2	1	2	0	3	2	2	1	4	4	0	2	3	12	8	4	7	7	2	0	0	0	1	2	3	1	5	1	4	5	2	2	6	4	22	0	20	10	40	16	56	2	0	1	1	1	3	6	0	46	20	5	2	0	0	2	4	3	6	2	18	8	3	0	1	1	1	6	2	6	5	2	3	11	4	14	3	7	10	17	3
OTU_32	83	9	19	8	102	300	158	55	321	16	13	62	2	8	5	10	4	23	24	10	59	8	24	13	7	16	7	2	1	3	4	6	5	3	9	26	3	3	7	6	2	2	9	4	6	4	6	19	2	52	8	2	2	7	5	4	4	3	5	8	19	9	6	1	3	2	3	32	4	2	24	6	5	2	6	6	39	3	29	39	16	72	26	18	4	8	21	22	60	38
OTU_706	0	1	0	1	0	0	1	0	0	0	1	0	1	1	3	3	0	1	1	2	1	2	1	2	0	0	1	2	0	0	0	1	2	2	0	1	2	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1
OTU_2246	1	0	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	2	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU_3692	9	0	1	1	3	1	2	5	1	2	2	3	26	4	17	4	10	4	2	1	0	2	7	0	18	1	3	1	0	4	2	4	5	10	2	9	4	7	2	14	26	27	5	4	0	6	3	4	5	3	4	2	3	1	2	0	2	2	1	2	8	3	2	1	2	11	24	23	16	29	2	21	7	2	13	4	18	3	7	3	1	3	17	3	3	9	8	3	1	5
OTU_5342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
OTU_50	17	6	0	1	5	4	3	4	3	3	8	5	2	3	1	10	10	4	2	2	6	4	8	1	2	2	0	0	1	1	5	14	20	26	2	4	0	2	2	5	3	2	13	9	6	6	9	10	5	16	9	10	12	7	10	11	7	5	7	14	204	27	65	3	6	62	94	198	146	569	50	51	131	183	42	78	48	15	20	72	24	62	41	3	3	24	47	16	10	61
